nama_series;kode_wilayah;wilayah;tahun;nilai;target
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;11;Aceh;2014;82.38;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;11;Aceh;2015;84.43;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;12;Sumatera Utara;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;12;Sumatera Utara;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;12;Sumatera Utara;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;12;Sumatera Utara;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;12;Sumatera Utara;2005;8.15;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;12;Sumatera Utara;2006;14.21;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;12;Sumatera Utara;2007;29.46;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;12;Sumatera Utara;2008;45.34;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;12;Sumatera Utara;2009;56.18;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;12;Sumatera Utara;2010;66.16;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;12;Sumatera Utara;2011;76.94;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;12;Sumatera Utara;2012;80.23;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;12;Sumatera Utara;2013;81.96;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;12;Sumatera Utara;2014;83.98;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;12;Sumatera Utara;2015;86.56;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;13;Sumatera Barat;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;13;Sumatera Barat;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;13;Sumatera Barat;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;13;Sumatera Barat;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;13;Sumatera Barat;2005;9.65;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;13;Sumatera Barat;2006;17.39;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;13;Sumatera Barat;2007;33.92;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;13;Sumatera Barat;2008;46.78;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;13;Sumatera Barat;2009;56.26;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;13;Sumatera Barat;2010;68.48;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;13;Sumatera Barat;2011;75.3;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;13;Sumatera Barat;2012;79.7;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;13;Sumatera Barat;2013;83.73;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;13;Sumatera Barat;2014;84.75;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;13;Sumatera Barat;2015;86.12;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;14;Riau;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;14;Riau;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;14;Riau;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;14;Riau;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;14;Riau;2005;16.02;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;14;Riau;2006;20.14;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;14;Riau;2007;45.15;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;14;Riau;2008;63.8;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;14;Riau;2009;69.55;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;14;Riau;2010;81.67;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;14;Riau;2011;87.92;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;14;Riau;2012;90.12;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;14;Riau;2013;92.07;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;14;Riau;2014;93.18;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;14;Riau;2015;94.05;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;15;Jambi;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;15;Jambi;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;15;Jambi;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;15;Jambi;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;15;Jambi;2005;8.88;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;15;Jambi;2006;14.2;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;15;Jambi;2007;34.81;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;15;Jambi;2008;55.59;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;15;Jambi;2009;59.68;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;15;Jambi;2010;74.4;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;15;Jambi;2011;82.69;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;15;Jambi;2012;86.14;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;15;Jambi;2013;88.52;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;15;Jambi;2014;89.39;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;15;Jambi;2015;90.13;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;16;Sumatera Selatan;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;16;Sumatera Selatan;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;16;Sumatera Selatan;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;16;Sumatera Selatan;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;16;Sumatera Selatan;2005;5.35;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;16;Sumatera Selatan;2006;8.38;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;16;Sumatera Selatan;2007;20.88;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;16;Sumatera Selatan;2008;42.26;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;16;Sumatera Selatan;2009;48.09;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;16;Sumatera Selatan;2010;68.22;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;16;Sumatera Selatan;2011;75.61;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;16;Sumatera Selatan;2012;82.08;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;16;Sumatera Selatan;2013;85.66;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;16;Sumatera Selatan;2014;86.2;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;16;Sumatera Selatan;2015;87.98;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;17;Bengkulu;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;17;Bengkulu;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;17;Bengkulu;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;17;Bengkulu;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;17;Bengkulu;2005;4.07;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;17;Bengkulu;2006;9.33;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;17;Bengkulu;2007;21.63;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;17;Bengkulu;2008;41.83;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;17;Bengkulu;2009;55.92;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;17;Bengkulu;2010;65.34;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;17;Bengkulu;2011;77;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;17;Bengkulu;2012;83.39;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;17;Bengkulu;2013;85.62;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;17;Bengkulu;2014;86.39;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;17;Bengkulu;2015;86.98;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;18;Lampung;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;18;Lampung;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;18;Lampung;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;18;Lampung;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;18;Lampung;2005;5.76;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;18;Lampung;2006;12;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;18;Lampung;2007;22.42;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;18;Lampung;2008;41.3;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;18;Lampung;2009;54.63;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;18;Lampung;2010;68.53;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;18;Lampung;2011;77.6;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;18;Lampung;2012;82.72;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;18;Lampung;2013;85.58;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;18;Lampung;2014;87.48;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;18;Lampung;2015;88.38;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;19;Kepulauan Bangka Belitung;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;19;Kepulauan Bangka Belitung;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;19;Kepulauan Bangka Belitung;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;19;Kepulauan Bangka Belitung;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;19;Kepulauan Bangka Belitung;2005;13.86;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;19;Kepulauan Bangka Belitung;2006;20.89;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;19;Kepulauan Bangka Belitung;2007;36.61;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;19;Kepulauan Bangka Belitung;2008;61.4;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;19;Kepulauan Bangka Belitung;2009;66.75;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;19;Kepulauan Bangka Belitung;2010;78.65;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;19;Kepulauan Bangka Belitung;2011;86.41;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;19;Kepulauan Bangka Belitung;2012;87.23;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;19;Kepulauan Bangka Belitung;2013;89.38;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;19;Kepulauan Bangka Belitung;2014;88.44;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;19;Kepulauan Bangka Belitung;2015;90.03;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;21;Kepulauan Riau;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;21;Kepulauan Riau;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;21;Kepulauan Riau;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;21;Kepulauan Riau;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;21;Kepulauan Riau;2005;18.6;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;21;Kepulauan Riau;2006;18.43;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;21;Kepulauan Riau;2007;42.78;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;21;Kepulauan Riau;2008;65.94;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;21;Kepulauan Riau;2009;77.45;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;21;Kepulauan Riau;2010;85.14;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;21;Kepulauan Riau;2011;86.68;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;21;Kepulauan Riau;2012;87.22;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;21;Kepulauan Riau;2013;92.36;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;21;Kepulauan Riau;2014;90.5;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;21;Kepulauan Riau;2015;92.25;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;31;DKI Jakarta;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;31;DKI Jakarta;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;31;DKI Jakarta;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;31;DKI Jakarta;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;31;DKI Jakarta;2005;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;31;DKI Jakarta;2006;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;31;DKI Jakarta;2007;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;31;DKI Jakarta;2008;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;31;DKI Jakarta;2009;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;31;DKI Jakarta;2010;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;31;DKI Jakarta;2011;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;31;DKI Jakarta;2012;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;31;DKI Jakarta;2013;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;31;DKI Jakarta;2014;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;31;DKI Jakarta;2015;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;32;Jawa Barat;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;32;Jawa Barat;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;32;Jawa Barat;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;32;Jawa Barat;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;32;Jawa Barat;2005;7.64;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;32;Jawa Barat;2006;9.57;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;32;Jawa Barat;2007;19.72;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;32;Jawa Barat;2008;32.45;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;32;Jawa Barat;2009;46.02;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;32;Jawa Barat;2010;57.14;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;32;Jawa Barat;2011;67.67;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;32;Jawa Barat;2012;74.36;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;32;Jawa Barat;2013;77.48;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;32;Jawa Barat;2014;78.92;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;32;Jawa Barat;2015;80.79;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;33;Jawa Tengah;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;33;Jawa Tengah;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;33;Jawa Tengah;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;33;Jawa Tengah;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;33;Jawa Tengah;2005;9.85;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;33;Jawa Tengah;2006;13.08;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;33;Jawa Tengah;2007;24.21;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;33;Jawa Tengah;2008;36.15;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;33;Jawa Tengah;2009;48.75;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;33;Jawa Tengah;2010;60.31;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;33;Jawa Tengah;2011;69.78;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;33;Jawa Tengah;2012;77.74;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;33;Jawa Tengah;2013;80.78;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;33;Jawa Tengah;2014;82.46;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;33;Jawa Tengah;2015;83.6;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;34;DI Yogyakarta;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;34;DI Yogyakarta;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;34;DI Yogyakarta;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;34;DI Yogyakarta;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;34;DI Yogyakarta;2005;16.74;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;34;DI Yogyakarta;2006;23.52;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;34;DI Yogyakarta;2007;40.21;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;34;DI Yogyakarta;2008;48.42;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;34;DI Yogyakarta;2009;57.7;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;34;DI Yogyakarta;2010;69.61;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;34;DI Yogyakarta;2011;76.77;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;34;DI Yogyakarta;2012;78.84;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;34;DI Yogyakarta;2013;84.81;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;34;DI Yogyakarta;2014;82.49;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;34;DI Yogyakarta;2015;84.5;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;35;Jawa Timur;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;35;Jawa Timur;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;35;Jawa Timur;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;35;Jawa Timur;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;35;Jawa Timur;2005;8.74;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;35;Jawa Timur;2006;12.8;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;35;Jawa Timur;2007;23.82;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;35;Jawa Timur;2008;36.32;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;35;Jawa Timur;2009;47.76;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;35;Jawa Timur;2010;58.95;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;35;Jawa Timur;2011;67.17;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;35;Jawa Timur;2012;73.99;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;35;Jawa Timur;2013;78.52;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;35;Jawa Timur;2014;80.99;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;35;Jawa Timur;2015;81.61;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;36;Banten;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;36;Banten;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;36;Banten;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;36;Banten;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;36;Banten;2005;5.83;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;36;Banten;2006;8.76;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;36;Banten;2007;19.89;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;36;Banten;2008;30.96;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;36;Banten;2009;41.72;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;36;Banten;2010;54.14;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;36;Banten;2011;67.73;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;36;Banten;2012;75.27;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;36;Banten;2013;77.67;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;36;Banten;2014;82.42;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;36;Banten;2015;83.64;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;51;Bali;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;51;Bali;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;51;Bali;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;51;Bali;2004;;
