Country Name	Country Code	Continent	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	
Antigua and Barbuda	ATG	North America	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG																			4.383627921	8.079745337	8.161430797	3.814916166	-0.08401226385	5.364016273	10.16499559	7.643793597	11.49382857	6.626368847	5.2132729	5.252274656	3.011646662	2.176873363	1.158326269	5.280071488	6.676195163	-4.35949399	6.604818088	5.471131932	4.731313712	3.707894618	6.691742382	-4.954074711	1.024100862	6.05790855	5.736460188	6.412405164	12.72850745	9.25942056	-0.03013326815	-12.10753619	-7.200024461	-2.079127047	3.506609222	-0.1038646933	4.658127431	4.025736808	5.589740804	3.032606112	4.930650909	
Australia	AUS	Oceania	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG		2.486103019	1.295678128	6.215017065	6.978496121	5.983279657	2.382519374	6.302729071	5.095755177	7.044514127	7.17193773	4.003772435	3.912633165	2.613534422	4.103497375	1.349876632	2.587704456	3.597418591	0.8969752174	4.043348367	3.034152368	3.337859224	3.32863134	-2.220677532	4.58135672	5.249311666	4.036732856	2.555546768	5.737912449	3.869712345	3.568944433	-0.39604619	0.4132894786	4.029422561	3.980805382	3.834316112	3.878682562	3.966477385	4.576640943	5.073663451	3.933102332	1.930816338	4.001431121	2.985959849	4.055503124	3.204198796	2.794529221	3.844300542	3.657943717	1.936905392	2.067520093	2.462724647	3.900900023	2.615722477	2.568707043	2.336075481	2.846754951	2.342582287	2.834948133	
Austria	AUT	Europe	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG		5.537979317	2.648675113	4.138267582	6.124353738	3.480174918	5.642861411	3.008047798	4.472312782	6.275867166	6.321142545	5.114968714	6.207860986	4.890435425	3.942138139	-0.3637357395	4.578445403	5.079980799	-0.210653451	5.356699831	1.731485428	-0.1442945184	2.011254366	2.973088021	0.05127525258	2.498678471	2.301392801	1.357167984	3.295880207	3.887074788	4.345641561	3.441627392	2.093524723	0.5268094824	2.402118763	2.667983666	2.349535097	2.093596476	3.581431009	3.556330241	3.375721973	1.267170469	1.651549407	0.941473312	2.735118518	2.244066812	3.454041032	3.727415176	1.460425193	-3.764580483	1.837094592	2.922797636	0.6804443742	0.02550410062	0.6612746529	1.142980101	2.039574983	2.55088076	2.729083099	
Azerbaijan	AZE	Asia	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG																																-0.6999999601	-22.60000039	-23.09999955	-19.70000002	-11.8000009	1.3000002	5.800000524	10.00000028	7.400000582	11.09999925	9.9	9.438916342	10.20830001	9.253801326	27.96153807	34.46620936	25.46321591	10.59143729	9.369502784	4.78883271	-1.572997621	2.202939023	5.84267327	2.797289382	1.050750982	-3.064200035	-0.2820111968	1.412873527	
Burundi	BDI	Africa	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG		-13.74613505	9.063157935	4.13540742	6.273037903	3.967225609	4.612992896	13.8215186	-0.2978836732	-1.459541143	21.32567073	2.746828711	-6.403964923	6.889050718	-0.7268395621	0.6979202362	7.942660976	11.46945304	-0.9405759892	1.66495495	0.9910557251	12.16327557	-1.05359982	3.715326991	0.1555440048	11.78318018	3.250180458	5.503096119	5.031024368	1.34950223	3.49982214	4.996836448	1.009998371	-6.240000001	-3.829999996	-7.920000004	-7.999999998	-1.589999997	4.749999995	-1.009999996	-0.8568640584	2.055807108	4.446519412	-1.22372796	4.833657768	0.9000000009	5.413807145	3.45195249	4.861712995	3.812746937	5.124163303	4.032602496	4.446708222	4.924195261	4.240651644	-3.900003086	-0.6000200005	0.5000099988	1.599976614	
Belgium	BEL	Europe	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG		4.978423063	5.212003509	4.351584282	6.956684733	3.56065984	3.155894982	3.868146947	4.194129625	6.629799795	5.591821536	3.985827325	5.29560445	6.381702078	4.565258059	-1.965941565	5.652745877	0.6261547958	2.841896605	2.341073009	4.444054045	-0.2792835991	0.5949869308	0.3118427245	2.466382675	1.651792828	1.822762115	2.306659454	4.723208902	3.46916681	3.137402452	1.833074304	1.530654776	-0.9618730714	3.226971477	2.38475719	1.593397043	3.710419622	1.975273655	3.563336505	3.633635802	0.8115536735	1.780495544	0.7744065931	3.63485312	2.094265657	2.506140238	3.448976401	0.7831581958	-2.253171548	2.744231083	1.79830622	0.2347787009	0.2006618276	1.254676984	1.739580448	1.452552224	1.734389656	1.437834676	
Benin	BEN	Africa	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG		3.141280459	-3.426409823	4.730027975	6.650759119	5.293862834	3.575862733	1.078398666	3.842335636	2.877497976	2.097757578	-1.496841828	6.426367544	3.706165319	3.339312161	-4.895345445	0.884356333	4.983663725	1.255078032	6.535747409	6.781763872	9.954231167	2.235066345	-4.347822734	7.929839564	7.530324837	2.171141598	-1.500002949	3.405245295	-2.854160496	8.976134361	4.225799419	2.957710826	5.836172088	2.020400448	6.045198648	4.324284031	5.734688377	3.961012138	5.341449372	5.859992101	5.330410857	4.644470026	3.444044849	4.429629024	1.711577628	3.947013747	5.986515522	4.889898637	2.32930121	2.110199297	2.962750351	4.816478241	7.189716312	6.351831941	2.095808383	3.96485991	5.837823305	6.858002271	
Burkina Faso	BFA	Africa	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG		4.043927977	6.128798781	-1.268016373	2.282819223	3.764545381	0.5376130831	8.823314975	3.070773938	2.026081041	0.1170196109	1.413339882	2.311498741	0.449327405	8.286426482	2.99838289	8.53489497	0.370353558	4.607825005	3.664621512	0.7968788724	4.255303394	9.562196623	0.3459847397	-1.778696687	8.517364995	7.955362728	-0.2363367936	5.795592965	2.150267276	-0.60292848	9.069984461	0.2327107625	3.461384935	1.315007272	5.716373867	11.01474387	6.316834735	7.307719633	7.404178966	1.820241893	6.613399555	4.353004323	7.802439898	4.478474349	8.661861605	6.253158604	5.655005118	7.29449815	2.962014371	5.373373126	6.626865192	6.452698755	5.792589317	4.326837357	3.894548057	5.934135105	6.302096059	6.50980304	
Bangladesh	BGD	Asia	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG		6.058160825	5.45303097	-0.4558942899	10.95278855	1.606258229	2.566812001	-1.87586392	9.489454015	1.220857909	5.619852293	-5.479483027	-13.9737287	3.325680199	9.5919563	-4.088214092	5.661361201	2.67305605	7.073837733	4.801634601	0.8191418689	7.233943695	2.134327836	3.8810464	4.803310015	3.342014654	4.173382559	3.772401853	2.416256856	2.836582129	5.622258162	3.485227815	5.442685551	4.711561724	3.890126441	5.121277897	4.522919218	4.489896497	5.177026873	4.670156368	5.293294718	5.077287776	3.83312394	4.739567399	5.23953291	6.535944941	6.671904981	7.058599357	6.013789759	5.045124794	5.571802274	6.46438388	6.521435078	6.013610365	6.061059359	6.552652796	7.113489474	7.284184092	7.863708893	
Bulgaria	BGR	Europe	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG																						4.90016186	2.334565592	3.430305913	3.396443623	2.68344074	4.207602004	6.054513839	10.94469206	-3.289882068	-9.117377097	-8.445355238	-7.272387907	-1.480214829	1.818011241	2.860189441	0.7046806778	-1.088820247	6.348979029	-8.408134389	4.765771064	3.770217793	5.9375164	5.156218443	6.435358323	7.123511076	6.874358379	7.344421909	6.021883402	-3.586145625	1.324087801	1.914905853	0.03096986868	0.4939214212	1.837521148	3.471186041	3.936758149	3.811248158	3.081157234	
Bahrain	BHR	Asia	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG																						-5.316697353	-7.556217712	6.3763768	5.003646045	-4.758268538	1.182993916	10.39900933	6.999991649	0.3640071382	4.437997176	11.22999878	6.689998367	12.87000667	-0.2500014845	3.929991545	4.110006115	3.092999787	4.790002789	4.29999896	5.299994794	2.491033565	3.614148289	6.023951196	6.980946984	6.768939709	6.468567672	8.292443822	6.245128341	2.539772469	4.334407088	1.983823256	3.732251521	5.416503715	4.34984233	2.861967825	3.470923702	3.803522262	1.777693753	
Bahamas, The	BHS	North America	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG		10.66709743	10.45197189	10.5240552	10.5015672	10.42559649	9.071928711	9.598113867	8.421763564	8.981662578	-5.649649519	1.626508741	-3.497335933	7.567568824	-16.75422907	-14.80312631	5.185184972	9.154929219	14.17952014	26.13929577	6.495281921	-9.22640508	6.698897756	3.597051868	14.17114862	4.829180114	1.797000227	2.984519345	2.309707661	6.727329799	-1.596249086	-4.181784781	-3.82558197	0.3078062914	3.14891562	4.37875209	4.223530425	2.062239634	4.716482216	7.144114758	4.149243017	2.625684058	2.704561615	-1.264720771	0.8828399298	3.395355597	2.516849119	1.446544635	-2.323966973	-4.175260401	1.538777407	0.6128974521	3.08668686	-0.4104286181	-0.147988573	1.044959524	-1.689549856	1.437191339	
Bosnia and Herzegovina	BIH	Europe	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG																																				20.80000055	88.9576648	34.38957459	15.59999636	9.599999795	5.500000436	4.399999507	5.300000267	4.000000065	6.09996678	8.7592567	5.417269684	5.855584939	5.4267266	-3.002752537	0.8721510226	0.9589530878	-0.8217292662	2.351034014	1.148038011	3.088223761	3.145658092	3.163559487	3.066134848	
Belarus	BLR	Europe	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG																																-1.19999557	-9.600001396	-7.600001842	-11.7000039	-10.40000049	2.800004651	11.40000541	8.39999142	3.399999163	5.80000344	4.725305994	5.04526748	7.043192559	11.44974311	9.400001524	9.999994812	8.600006536	10.19999944	0.19999531	7.798266823	5.37870745	1.687135536	1.003470841	1.726384854	-3.829570558	-2.526446436	2.5321835	3.04990555	
Belize	BLZ	North America	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG		4.892277219	4.89265218	4.956434195	4.99987991	4.930540961	4.770845113	4.913123162	7.367225457	5.106374791	4.807693364	3.959441082	10.21830384	5.351894111	13.55998517	3.592824442	-0.03402094342	6.496594287	7.920807179	7.517021513	13.43668176	1.133770823	-0.1077104286	-2.14317997	1.972065025	1.012513914	4.539456957	10.73530413	9.787711442	13.00922113	11.44338873	11.46403642	12.05944536	6.275691918	0.1583632905	0.6442383654	1.428210257	3.544671149	3.740646544	8.778999567	13.01957737	5.015584881	5.119885055	9.327951335	4.648087296	2.578008809	4.58160037	1.105586127	3.228855669	0.6708014769	3.383471706	2.162606822	2.937812628	0.8519346275	3.692371465	3.431950484	-0.5880236497	1.437288946	3.049643797	
Bermuda	BMU	North America	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG		4.68	4.47	1.07	11.11	4.76	14.36363636	13.27503975	2.105263158	3.436426117	6.312292359	3.4375	1.812688822	1.483679525	0.8771929825	3.768115942	8.938547486	5.897435897	1.452784504	2.14797136	7.943925234	2.380952381	-5.285412262	2.008928571	0.4814004376	-2.003484321	6.666666667	3.75	4.0562249	0.4438440756	0.01921229587	-3.534383404	-0.05973715651	3.008567444	0.5996131528	4.399147856	2.600476046	4.6	3.9	3.382648714	9.317155577	7.222436009	-1.477790375	3.410706204	2.321266476	1.674207149	5.543865928	2.845890114	1.52789391	-5.284177149	-2.094113534	-3.33949441	-4.834540171	-2.511154431						
Bolivia	BOL	South America	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG		2.089295936	5.578917858	6.797625777	3.956596533	4.913441955	7.170589663	6.317219518	8.529443084	4.474097331	5.231029301	5.063336435	7.967485213	5.739161523	2.939567816	7.311017727	4.614567486	4.971215655	2.052694572	0.1333440437	-1.371775125	0.2756200222	-3.93874102	-4.04211847	-0.2006759948	-1.676387144	-2.573874562	2.463477148	2.909504758	3.790130047	4.63578591	5.266527472	1.646496933	4.269293696	4.667270435	4.678272586	4.361343058	4.954208743	5.029352337	0.4268895767	2.507807553	1.683800939	2.485564847	2.711340707	4.173294318	4.421434767	4.797009171	4.564382752	6.148497195	3.357001259	4.126719369	5.204095947	5.122274661	6.796011706	5.460567154	4.857188015	4.263919504	4.195209367	4.223624932	
Brazil	BRA	South America	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG		10.27591155	5.21605942	0.8746725924	3.485582304	3.053487894	4.150360233	4.915265675	11.42728238	9.73582689	8.769947472	11.29508684	12.05280225	13.97869165	9.042120313	5.209075901	9.790410161	4.606318061	3.231709563	6.766284965	9.110960155	-4.3933572	0.5802455534	-3.409793474	5.26914315	7.945861749	7.988295105	3.599629467	-0.1026727184	3.279458858	-3.102355949	1.511937238	-0.4669132117	4.66516899	5.334551702	4.416731355	2.207535527	3.394845985	0.338097903	0.4679375674	4.387949443	1.389896403	3.053461858	1.140828998	5.759964639	3.20213138	3.961988722	6.069870608	5.094195447	-0.1258119994	7.52822583	3.974423079	1.921175986	3.004822669	0.5039557402	-3.545763393	-3.305454313	1.063861259	1.11757918	
Barbados	BRB	North America	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG																-1.9	4.360211005	3.642205768	4.876939315	7.893008136	4.373064814	-1.928767478	-4.931367565	0.5080213904	3.551476457	1.078998073	5.095946118	2.563482467	3.454373968	3.601139601	-3.299967	-3.913092936	-6.984728306	1.221840397	3.78473532	2.023261449	3.966274789	4.740148487	3.740458015	0.3258698623	4.453059514	-2.377369847	0.8014796547	2.161060143	1.406904809	3.975204172	5.668590896	1.764284435	0.1232068996	-3.972927837	0.2654462243	0.6572941391	0.2811536369	0.009044044497	0.01808645325	0.904159132	2.007168459	1		
Brunei Darussalam	BRN	#N/A	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG																0.3554630683	20.15539436	10.91669706	6.775834422	22.56242876	-6.996702984	-19.82671586	3.956654938	0.5014659659	0.5998765417	-1.49074908	-2.715469953	2.009129814	1.097367166	-1.074178573	1.089420535	3.145941362	4.758580846	0.3045728741	3.145397395	4.47870734	2.878317747	-1.471171572	-0.5585088511	3.052157142	2.849421858	2.744040518	3.872096967	2.903955477	0.5043182527	0.3875072082	4.397719678	0.1545818117	-1.939714638	-1.764535541	2.598965746	3.745318352	0.912841671	-2.126028517	-2.34974675	-0.5668146088	-2.465514923	1.328751422	0.05234667269	
Bhutan	BTN	Asia	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG																						13.90772904	3.413941475	11.31071362	4.482105129	4.211775036	11.73057663	28.69626536	4.987289699	7.432626446	10.87643469	-0.4078760889	4.600891432	1.98636659	4.95150367	7.074117278	5.565172862	5.373838519	5.914030835	7.983972022	6.93302424	8.203773861	10.72784061	7.664334042	5.896408192	7.12255965	6.849365932	17.92582494	4.768354226	6.657223796	11.73085436	7.890913893	5.071709815	2.142496554	5.745455168	6.644564258	8.022101221	4.629101391	2.290648193	
Botswana	BWA	Africa	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG		6.343283719	6.666667814	5.921045096	6.832300927	5.813955063	6.344019093	5.924559943	10.5670565	15.12340471	17.12026767	25.82110722	26.36194095	21.30318409	8.797795217	8.446250376	10.64737671	12.01204009	14.33280159	12.14858892	11.98690138	9.064857465	12.16553186	13.14672905	8.54538364	7.125271269	8.172924333	11.88192814	19.44996951	13.05940589	6.772821949	7.458709112	2.917070307	1.916107142	3.627916021	7.030410261	5.829800078	8.325890898	0.4436634803	9.667240742	1.987695854	0.2505738667	6.069530868	4.625894792	2.705821737	4.556645657	8.363871069	8.276763793	6.245437363	-7.652310203	8.563631748	6.048316367	4.456167213	11.34342425	4.149289893	-1.697965616	4.303773353	2.90753491	4.453559601	
Central African Republic	CAF	Africa	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG		4.953553798	-3.713800184	-0.7070107522	2.080324599	0.9475787123	0.6447837202	4.676613109	1.404113177	7.091542528	2.332880877	1.130202384	-0.0008671748311	1.888939956	6.339033612	0.404987104	5.432518987	3.806234914	1.209235419	-2.465137785	-4.478638848	-1.544465665	7.715783631	-8.126513593	9.481726653	3.927219538	3.577979254	-4.938987885	1.710165285	1.977270435	-2.147528066	-0.5525430051	-6.424078199	0.3352756846	4.89994941	7.200045558	-4.000092964	5.299936018	4.700142379	3.599974904	-2.48943244	4.464739026	3.616542192	-5.397485219	5.994884228	0.9082105149	4.77108543	4.607534855	2.054130962	8.587260426	4.630818432	4.194615337	5.053761254	-36.03742608	0.1172671029	4.56280844	5.006285824	4.457283162	4.340609983	
Canada	CAN	North America	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG		3.163291684	7.116779267	5.181776082	6.699456682	6.636545139	6.584965408	2.91531036	5.295341864	5.260000826	3.958779866	3.970250756	5.509683713	6.83574226	3.280323012	1.461236855	5.878630112	3.438151468	3.683508861	3.711168481	2.155537389	3.477570055	-3.188332285	2.601429813	5.90924477	4.737609729	2.143652415	4.072318375	4.410296501	2.317319325	0.1635230697	-2.085795984	0.9005310587	2.6607995	4.494682274	2.692015616	1.618885847	4.279576125	3.881401956	5.162467865	5.182585378	1.771278065	3.009995251	1.801783965	3.086197262	3.20119986	2.623561174	2.062411488	1.001059411	-2.949450662	3.082591592	3.141950887	1.753890418	2.319882289	2.858996461	0.674305601	1.100471479	2.985033351	1.878588928	
Central Europe and the Baltics	CEB	#N/A	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG																																-9.699592558	-1.939072836	1.625521338	4.084426351	5.408603818	4.343315276	3.064968603	2.794484478	1.968065492	4.042580275	2.999443206	3.52399973	4.048613539	5.81578323	4.991550266	6.565177621	6.440984763	3.890738595	-3.450058197	1.556048138	3.206921858	0.7430041498	1.337720587	3.048592204	3.830079284	3.141229893	4.720690224	4.301360947	
Switzerland	CHE	Europe	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG												4.075442554	3.200508708	3.049907584	1.45490782	-7.283174557	-1.403676015	2.433652072	0.4090837622	2.491512142	4.601977359	1.601335882	-1.30941744	0.6390794478	3.008456432	3.673595918	1.858632782	1.58547817	3.277596249	4.330794042	3.674625638	-0.9158165626	-0.04373300778	-0.1259835409	1.269757693	0.480866443	0.5400276049	2.340149884	2.989891846	1.694719834	3.936823453	1.312423669	0.1626129024	0.03957656774	2.7762235	3.11524553	3.988634221	4.111877812	2.154701861	-2.222107121	3.002699108	1.692808495	1.006024097	1.852039757	2.449218097	1.333369086	1.601223556	1.616692155	2.540426713	
Channel Islands	CHI	#N/A	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG																																								3.770263675	5.826641469	-1.51296126	-1.632206598	-3.202156942	0.2241973963	1.377734157	4.882299364	5.898329661												
Chile	CHL	South America	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG		5.245271886	4.026685625	5.840140137	2.557220542	0.9502725053	11.23624245	3.615999855	3.592013329	3.937983279	1.828966971	9.422686212	-1.019947795	-5.029248355	2.382149332	-12.91210105	3.832584009	10.44468638	7.701103605	8.418304686	7.986620757	6.525370365	-11.01430506	-5.017420525	4.103683242	4.009916202	5.377692322	6.460468528	7.345110455	9.923382897	3.333565473	7.804392186	11.16670773	6.588783827	5.030197977	8.933295869	6.802916596	7.427889808	4.324579497	-0.412096167	5.326938419	3.303047313	3.106970532	4.091047685	7.209539709	5.742830489	6.317176343	4.905324504	3.529530553	-1.564239443	5.844177296	6.110918829	5.318628	4.045004298	1.766739784	2.303767036	1.670540173	1.279183341	4.024652965	
China	CHN	Asia	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG		-27.27	-5.57999999	10.3	18.17999999	16.95	10.65	-5.770000004	-4.099999992	16.94	19.3	7.060000003	3.809999998	7.760000002	2.31	8.72	-1.570000003	7.569999999	11.13416441	7.6	7.80669145	5.172413793	8.93442623	10.83521445	15.13917176	13.44339623	8.93970894	11.6889313	11.23451516	4.185867896	3.907113896	9.294075913	14.21616358	13.86757602	13.05215872	10.94922737	9.928372463	9.230769231	7.837613919	7.667486171	8.491508492	8.33991055	9.130645945	10.03560303	10.11122346	11.39577594	12.71947902	14.23138804	9.654289373	9.399813171	10.63614046	9.55091409	7.859627493	7.768615284	7.299518921	6.90531667	6.736675253	6.757007611	6.6	
Cote d'Ivoire	CIV	Africa	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG		9.932555156	1.22699449	14.49035586	17.61308783	-3.109654273	11.57735969	4.598151785	12.54824864	9.539218771	10.37503184	9.456637661	4.236625012	5.939197536	4.327380857	8.252886369	12.91639744	7.314459155	10.90945365	2.394407464	-10.95769727	3.500498907	0.2008223516	-3.900240442	-2.701261434	4.501223175	3.259348767	-0.3489729094	1.136483964	2.948004945	-1.095908411	0.04092516874	-0.2445606122	-0.1924851	0.8112066847	7.125744724	7.729327422	3.743553144	4.930679628	1.617527443	-2.068400057	0.1213719151	-1.667642138	-1.359535943	1.23177284	1.721247367	1.515842364	1.765036784	2.542841476	3.251453719	2.017638592	-4.387254788	10.7065041	8.889421302	8.79407739	8.84285995	7.971751186	7.702089422	7.433071625	
Cameroon	CMR	Africa	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG		1.183680812	3.041559051	3.74255032	3.547159696	2.026053715	4.614955621	-10.91206559	6.346323856	4.901479523	3.092068236	3.479707817	2.673843292	5.355680778	10.73426226	11.24505877	-5.495138397	13.73987152	22.00300492	6.035118773	-1.965291669	17.08268225	7.516202606	6.866830566	7.474572543	8.063161672	6.77166308	-2.146650212	-7.823631975	-1.819120513	-6.105697646	-3.808599372	-3.100003211	-7.932066575	2.123935444	3.469792148	4.361086518	5.231320709	4.502291241	4.292016945	3.553374364	4.368084242	4.237203677	4.567195256	6.780955924	2.020662307	3.457668793	4.902201732	3.488800919	2.198664102	3.422507641	4.129277161	4.543265016	5.40426571	5.884059327	5.651463744	4.648481551	3.549087318	3.859896996	
